Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Iridium Next SV 152,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,493,710,86.7,97,860,678,50,5/22/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-047D,43479,Not Available
Iridium Next SV 153,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,625,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083J,43078,Not Available
Iridium Next SV 154,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,622,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061F,43574,Not Available
Iridium Next SV 155,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,622,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061E,43573,Not Available
Iridium Next SV 156,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061H,43576,Not Available
Iridium Next SV 157,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030C,43251,Not Available
Iridium Next SV 158,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061C,43571,Not Available
Iridium Next SV 159,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,622,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061K,43578,Not Available
Iridium Next SV 160,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,624,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061A,43569,Not Available
Iridium Next SV 161,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,489,714,86.7,97,860,678,50,5/22/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-047C,43478,Not Available
Iridium Next SV 162,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,491,715,86.7,97,860,678,50,5/22/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-047G,43482,Not Available
Iridium Next SV 163 ,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061G,43575,Not Available
Iridium Next SV 164,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061J,43577,Not Available
Iridium Next SV 165,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061D,43572,Not Available
Iridium Next SV 166,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,623,86.6,97,860,678,50,7/25/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-061B,43570,Not Available
Iridium Next SV 167,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,612,625,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002K,43931,Not Available
Iridium Next SV 168,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002C,43924,Not Available
Iridium Next SV 169,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002E,43926,Not Available
Iridium Next SV 170,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,610,626,86.7,97,860,678,50,1/11/2019,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2019-002J,43930,Not Available
