Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,706","35,868",0.01,1436.13,"1,156",884,"1,240",1/1/2000,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,2000-001A,26052,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band."
Aoba-VELOX 4,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,LEO,Sun-Synchronous,481,513,97.3,94.6,3,0,0,1/18/2019,0,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations."
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,696,764,98,99.4,12,12,0,6/29/2004,0,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,Messaging services.
AprizeSat 10 (exactView-13),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613,733,97.9,98,12,12,0,6/19/2014,0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,694,850,98.2,100.3,12,12,0,6/29/2004,0,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,Messaging services.
AprizeSat 3 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,559,662,98.18,97,12,12,0,7/29/2009,0,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 4 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604,674,98.1,97.5,12,12,0,7/29/2009,0,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 5,Canada,Aprize Satellite,Commercial,Communications,LEO,Sun-Synchronous,610,694,98.2,97.8,12,12,0,8/17/2011,0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,Continuation of constellation.
AprizeSat 7,Canada,Aprize Satellite,Commercial,Communications,LEO,Sun-Synchronous,594,653,97.8,97.17,12,12,0,11/21/2013,0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.
AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594,669,97.8,97.99,12,12,0,11/21/2013,0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.
AprizeSat 9 (exactView-11),Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613,715,97.9,98,12,12,0,6/19/2014,0,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AsiaStar ,USA,1Worldspace,Commercial,Communications,GEO,Not Available,"35,773","35,801",0.02,1436.15,"2,775","1,530","5,600",3/21/2000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
DSP 20 (USA 149) (Defense Support Program),USA,US Air Force,Military,Earth Observation,GEO,Not Available,"35,897","35,909",4.08,142.08,"2,380",0,"1,485",5/18/2000,9,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.
"Eutelsat 36A (Eutelsat 48E, Eutelsat W-4) ",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,766","35,806",0.07,1436.08,"3,190","1,380","6,000",5/24/2000,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,2000-028A,26369,"Thirty-one operational channels, Western Russia,  majoritiy of central and southern Afirca."
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,768","35,808",0.9,1436.2,"3,180","1,600","2,300 (EOL)",6/30/2000,11,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,"Tracking and communications with space shuttle, other missions; not fully functional."
"Intelsat 9 (IS-9, PAS-9) ",USA,PanAmSat (Intelsat S.A.),Commercial,Communications,GEO,Not Available,"35,782","35,792",0.01,1436.14,"3,659","2,389","9,900",7/28/2000,15,Hughes Space and Communications Co.,USA,Sea Launch Odyssey,Zenit 3SL,2000-043A,26451,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe."
Brazilsat B-4 (Brasilsat B-4),Brazil,Embratel Star One,Commercial,Communications,GEO,Not Available,"35,772","35,800",0.07,1436.09,"2,495","1,050","1,800 (BOL)",8/17/2000,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,28 C-band; voice and video communications to all of South America.
Astra 2B ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,772","35,801",0.07,1436.11,"3,315","1,400","7,800",9/14/2000,14,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland."
Arkyd-6A,USA,Planetary Resources,Commercial,Technology Development,LEO,Sun-Synchronous,493,505,97.5,94.5,10,0,0,1/11/2018,0,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,Not Available
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",Netherlands,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,798",0.07,1436.15,"3,582","2,000",0,10/2/2000,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-059A,26554,"Direct-to-home voice, video and data transmission in India, China and Philippines; 24 C-band, 24 Ku-band transponders."
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,Not Available,"35,784","35,789",0.01,1436.11,"3,531","1,669","7,200 (EOL)",10/7/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,774","35,799",0.04,1436.12,"1,156",884,"1,240",10/20/2000,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band."
"AMC-6 (Americom-6, GE-6)",USA,SES S.A.,Commercial,Communications,GEO,Not Available,"35,778","35,795",0.05,1436.12,"3,901","2,500",0,10/22/2000,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,796",0,1436.09,"4,167","1,729","12,000",10/29/2000,18,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,2000-068A,26590,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",USA,PanAmSat (Intelsat S.A.),Commercial,Communications,GEO,Not Available,"35,785","35,788",0.06,1436.11,"4,793","3,000","15,000",11/15/2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2000-072A,26608,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14."
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,Not Available,"35,778","35,793",0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,Not Available
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES S.A.,Commercial,Communications,GEO,Not Available,"35,773","35,798",0.03,1436.07,"2,015",919,"3,300",12/19/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
Astra 2D,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,770","35,802",0.07,1436.1,"1,420",700,"1,500",12/19/2000,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
Sicral 1A ,Italy,Italian Defense Ministry,Military,Communications,GEO,Not Available,"35,769","35,802",1.01,1436.06,"2,596","1,263","3,300",2/7/2001,12,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694,"Italy's first military satellite; communications to fixed and mobile terminals. Extremely High Frequency (EHF), SHF, UHF broadcast frequencies. On-board failure in 2006, but operations recovered."
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan Space Systems,Government,Earth Observation,LEO,Sun-Synchronous,506,507,97.48,94.75,500,0,0,11/6/2014,3,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Japan Space Systems,Government,Earth Observation,LEO,Sun-Synchronous,493,505,97.3,94.5,570,0,0,1/17/2018,3,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,X-band radar.
ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,LEO,Non-Polar Inclined,400,405,51.6,92.6,12,0,0,11/20/2017,1,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer,1998-067NH,43020,"Technology demonstration of astrophysical measurements using a Cubesat, with a primary goal of training early-career engineers."
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,764","35,768",4.5,1435.04,"4,536",0,"8,000",2/27/2001,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system."""
"Eutelsat 133 West A (Eutelsat 33C, Eutelsat 28A, Eurobird 1, Eurosat 1)",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,788","35,794",0.07,1436.1,"2,950","1,375","5,900",3/8/2001,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2001-011A,26719,Twenty-four channels; Western and Central Europe as far west as Canary Islands.
Intelsat 10 (PAS-10),USA,PanAmSat (Intelsat S.A.),Commercial,Communications,GEO,Not Available,"35,776","35,796",0.04,1436.08,"3,739","2,510","9,600",5/14/2001,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton,2001-019A,26766,"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe."
Intelsat 901 ,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,775","35,798",0.01,1436.12,"4,723","1,972","10,000",6/9/2001,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region. Life extension with MEV-1 in 2020."
Astra 2C ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,768","35,804",0.07,1436.12,"3,643","2,000","7,000",6/16/2001,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
DSP 21 (USA 159) (Defense Support Program),USA,US Air Force,Military,Earth Observation,GEO,Not Available,"35,765","35,810",3.68,1436.14,"2,380",0,"1,485",8/6/2001,9,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.
Intelsat 902 ,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,775","35,797",0.02,1436.1,"4,723","1,972","8,500",8/30/2001,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region."
"Eutelsat 12 West B (Eutelsat 8 West A, Atlantic Bird 2) ",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,766","35,806",0.06,1436.1,"3,150","1,368","7,400",9/25/2001,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-042A,26927,European and American coverage.
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,753","35,820",3.45,1436.12,"4,536",0,"8,000",1/16/2002,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system."""
Echostar 7 ,USA,"Echostar Satellite Services, LLC",Commercial,Communications,GEO,Not Available,"35,782","35,789",0.01,1436.07,"4,027","2,200","13,000",2/21/2002,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders"
Intelsat 904 ,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,782","35,789",0.01,1436.07,"4,680","2,350","8,500",2/23/2002,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region."
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,768","35,809",0.02,1436.11,"3,180","1,600","2,300 (EOL)",3/8/2002,11,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,"Tracking and communications with space shuttle, other missions. In storage."
Astra 3A ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,770","35,804",0.06,1436.07,"1,500",750,"1,500",3/29/2002,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland."
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,Not Available,"35,788","35,794",0.01,1436.1,"2,500","1,460","3,500",3/29/2002,11,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii."
Intelsat 903 ,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,773","35,802",0.02,1436.16,"4,723","1,972","8,600",3/30/2002,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region."
NSS-7 ,Netherlands,SES S.A.,Commercial,Communications,GEO,Not Available,"35,775","35,798",0.08,1436.12,"4,500","2,500","3,900",4/16/2002,14,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,2002-019A,27414,"36 C-band, 36 Ku-band; broadcasting, business services; Europe, Africa, the Middle East, the Americas."
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Commercial,Communications,GEO,Not Available,"35,773","35,799",0.07,1436.08,"4,300","3,640",0,5/7/2002,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.
Astranis Demosat-2,USA,Astranis,Commercial,Technology Development,LEO,Sun-Synchronous,494,505,97.5,94.5,0,0,0,1/11/2018,0,Astranis,USA,Satish Dhawan Space Centre,PSLV,2018-004S,43127,Pathfinder for Astranis' small GEO satellites.
Astrocast 0.1,Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,574,590,97.7,96.3,4,0,0,12/3/2018,0,Astrocast,Switzerland,Vandenberg AFB,Falcon 9,2018-099AS,43798,Part of Spaceflight SSO-A mission. 
Astrocast 0.2,Switzerland,Astrocast,Commercial,Communications,LEO,Sun-Synchronous,493,510,97.5,94.6,4,0,0,4/1/2019,0,Astrocast,Switzerland,Satish Dhawan Space Centre,PSLV,2019-018F,44083,Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.
