Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
Dove 3p'-1 (0 Flock 3p'1 1100),1/11/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004L,43121,Not Available,,
Dove 3p-10 (0 Flock 3P-10 1022),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AC,41974,Not Available,,
Dove 3p-11 (0 Flock 3P-11 101F),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AD,41975,Not Available,,
Dove 3p-12 (0 Flock 3P-12 1010),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AA,41972,Not Available,,
Dove 3p-13 (0 Flock 3P-13 1016),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CW,42040,Not Available,,
Dove 3p-14 (0 Flock 3P-14 1018),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BS,42012,Not Available,,
Dove 3p-15 (0 Flock 3P-15 101D),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CV,42039,Not Available,,
Dove 3p-16 (0 Flock 3P-16 100E),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BR,42011,Not Available,,
Dove 3p-17 (0 Flock 3P-17 1023),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008Q,41962,Not Available,,
Dove 3p-18 (0 Flock 3P-18  102B),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008K,41957,Not Available,,
Dove 3p-19 (0 Flock 3P-19 1024),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008H,41955,Not Available,,
Dove 3p-2 (0 Flock 3P-2 1001),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008U,41966,Not Available,,
Dove 3p'-2 (0 Flock 3p'2 1102),1/11/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004K,43120,Not Available,,
Dove 3p-20 (0 Flock 3P-20 1029),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008C,41950,Not Available,,
Dove 3p-21 (0 Flock 3P-21 102A),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008M,41959,Not Available,,
Dove 3p-22 (0 Flock 3P-22 1028),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008L,41958,Not Available,,
Dove 3p-23 (0 Flock 3P-23 1025),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BY,42018,Not Available,,
Dove 3p-24 (0 Flock 3P-24 1026),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008J,41956,Not Available,,
Dove 3p-25 (0 Flock 3P-25 102F),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008S,41964,Not Available,,
Dove 3p-26 (0 Flock 3P-26 102D),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008P,41961,Not Available,,
Dove 3p-27 (0 Flock 3P-27 1030),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008R,41963,Not Available,,
