Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
"SBSS-1 (Space Based Space Surveillance Satellite, SBSS Block 10 SV1, USA 216)",9/26/2010,USA,Space Observation,LEO,Sun-Synchronous,97.36,"1,031",0,0,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168,Designed to track and detect other spacecraft in orbit.,,
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",2/3/2005,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"5,000",0,0,USA,Cape Canaveral,Atlas 3B,2005-004A,28537,"ELINT system; wide area ocean surveillance, primarily for the Navy.",,
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",2/3/2005,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"5,000",0,0,USA,Cape Canaveral,Atlas 3B,2005-004B,28541,"ELINT system; wide area ocean surveillance, primarily for the Navy.",,
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",6/15/2007,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"5,000",0,0,USA,Cape Canaveral,Atlas 5,2007-027A,31701,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",6/15/2007,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"5,000",0,0,USA,Cape Canaveral,Atlas 5,2007-027B,31708,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",4/15/2011,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"5,000",0,0,USA,Vandenberg AFB,Atlas 5,2011-014B,37391,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",4/15/2011,USA,Earth Observation,LEO,Non-Polar Inclined,107.5,0,0,0,USA,Vandenberg AFB,Atlas 5,2011-014A,37386,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",9/13/2012,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2012-048A,38758,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",9/13/2012,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2012-048P,38773,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",10/8/2015,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2015-058A,40964,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",10/8/2015,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2015-058R,40981,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",3/1/2017,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2017-011A,42058,Not Available,,
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",3/1/2017,USA,Earth Observation,LEO,Non-Polar Inclined,107.4,"6,500",0,0,USA,Vandenberg AFB,Atlas 5,2017-011B,42065,Not Available,,
ScatSat-1,9/26/2016,India,Earth Observation,LEO,Sun-Synchronous,99.3,371,0,5,India,Satish Dhawan Space Centre,PSLV,2016-059H,41790,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones.",,
SCD-1 (Satélite de Coleta de Dados),2/9/1993,Brazil,Earth Observation,LEO,Non-Polar Inclined,99.7,110,0,3,Brazil,Cape Canaveral,Pegasus,1993-009B,22491,Collects meteorological and environmental data on the Amazon region; barely functioning.,,
SCD-2 (Satélite de Coleta de Dados),10/23/1998,Brazil,Earth Observation,LEO,Non-Polar Inclined,99.8,110,0,3,Brazil,Cape Canaveral,Pegasus,1998-060A,25504,Collects meteorological and environmental data on the Amazon region,,
Scisat-1 (Atmospheric Chemistry Experiment),8/12/2003,Canada,Space Science,LEO,Polar,97.6,150,0,0,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858,ACE experiments in space.,,
Fengyun 4A (FY 4A),12/10/2016,China,Earth Observation,GEO,Not Available,1436,"5,300",0,0,China,Xichang Satellite Launch Center,Long March 3B,2016-077A,41882,New generation of meteorological satellite.,,
"SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ",8/31/2004,USA,Communications,Elliptical,Molniya,717.7,0,0,10,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,Real-time data relay from reconnaissance satellites.,,
"SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ",12/10/2007,USA,Communications,Elliptical,Molniya,718,0,0,10,USA,Cape Canaveral,Atlas 5,2007-060A,32378,Real-time data relay from reconnaissance satellites.,,
Echostar 19,12/18/2016,USA,Communications,GEO,Not Available,1436.3,"6,764",0,15,USA,Cape Canaveral,Atlas 5,2016-079A,41893,"Leased to HughesNet to provide internet to rural areas in US, Central America, Mexico, Canada",,
"ERG (Exploration of Energization and Radiation in Geospace, Arase)",12/20/2016,Japan,Space Science,Elliptical,Not Available,580,350,0,1,Japan,Uchinoura Space Center,Epsilon,2016-080A,41896,Study of the Van Allen belts.,,
JCSat 15,12/21/2016,Japan,Communications,GEO,Not Available,1434.1,"3,400",0,15,USA,Guiana Space Center,Ariane 5,2016-082A,41903,Will replace N-Sat 110.,,
Star One D1,12/21/2016,Brazil,Communications,GEO,Not Available,1434.7,"6,433",0,15,USA,Guiana Space Center,Ariane 5,2016-082B,41904,"Video and radio broadcasters, Internet service providers and direct-to-home television programming, satellite telephone calls, and high-speed data transmissions over Brazil, Mexico and other parts of Latin America.",,
TJS-2 (Tongxin Jishu Shiyan 2),1/5/2017,China,Technology Development,GEO,Not Available,1436.19,0,0,0,China,Xichang Satellite Launch Center,Long March 3B,2017-001A,41911,Communications technology test satellite.,,
SDS-4 (Small Demonstration Satellite-4),5/17/2012,Japan,Technology Development,LEO,Sun-Synchronous,98.1,50,48,2,Japan,Tanegashima Space Center,H2A,2012-025C,38339,Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea.,,
Seahawk-1,12/3/2018,USA,Earth Observation,LEO,Sun-Synchronous,96.3,4,0,0,USA/UK,Vandenberg AFB,Falcon 9,2018-099BQ,43820,Will image the world's ocean for color (SOCON: Sustained Ocean Color Observations with Nanosatellites) to assess health. Prototype for a larger constellation.,,
SEEDS 2,4/28/2008,Japan,Technology Development,LEO,Sun-Synchronous,97,3,0,0,Japan,Satish Dhawan Space Centre,PSLV C9,2008-021J,32791,Will download telemetry in Morse code and 1200-baud FM.,,
SeeMe (Space Enabled Effects for Military Engagements satellite),12/3/2018,USA,Earth Observation,LEO,Sun-Synchronous,96.3,25,0,0,USA,Vandenberg AFB,Falcon 9,2018-099BS ,43822,Real time situational awareness for troops on the ground with handheld devices. Possible constellation consisting of about 24 satellites. ,,
Sentinel  3B,4/25/2018,ESA,Earth Observation,LEO,Sun-Synchronous,101.1,"2,300",0,7,France,Plesetsk Cosmodrome,Rokot,2018-039A,43437,Not Available,,
Sentinel 1A,4/3/2014,ESA,Earth Observation,LEO,Sun-Synchronous,98.61,"2,300","2,146",7,Italy,Guiana Space Center,Soyuz,2014-016A,39634,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",,
Sentinel 1B,4/25/2016,ESA,Earth Observation,LEO,Sun-Synchronous,98.7,"2,300","2,146",7,France,Guiana Space Center,Soyuz 2.1a,2016-025A,41456,Not Available,,
Sentinel 2A,6/23/2015,ESA,Earth Observation,LEO,Sun-Synchronous,100.62,"1,130","2,146",7,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",,
Sentinel 2B,3/6/2017,ESA,Earth Observation,LEO,Sun-Synchronous,100.4,"1,130",0,7,France/UK/Germany,Guiana Space Center,Vega,2017-013A,42063,Not Available,,
Sentinel 3A,2/16/2016,ESA,Earth Observation,LEO,Sun-Synchronous,100.9,"2,300","2,146",7,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335,Not Available,,
Sentinel 5P (Sentinel 5 Precursor),10/13/2017,ESA,Earth Observation,LEO,Sun-Synchronous,101.2,820,0,7,France/UK/Germany,Plesetsk Cosmodrome,Rokot,2017-064A,42969,First Copernicus satellite dedicated to tracking changes in Earth’s atmosphere. Tropomi spectrometer will detect atmospheric composition at a scale of 4.3 miles by 2.2 miles (7 kilometers by 3.5 kilometers).,,
"SBIRS GEO 3 (Space Based Infrared System Geosynchronous 3, USA 273)",1/20/2017,USA,Earth Observation,GEO,Not Available,1436.11,"4,500",0,12,USA,Cape Canaveral,Atlas 5,2017-004A,41937,Not Available,,
Kirameki 2 (DSN-2),1/24/2017,Japan,Communications,GEO,Not Available,1436.1,0,0,15,Japan,Tanegashima Space Center,H2A,2017-005A,41940,X-Band satellite dedicated to military. ,,
Hispasat 36W-1 (Hispasat AG1),1/28/2017,Spain,Communications,GEO,Not Available,1436.1,"3,220","1,700",15,Germany,Guiana Space Center,Soyuz,2017-006A,41942,First GEO satellite built in Germany in 20 years.,,
SkyBrasil-1 (Intelsat 32E),2/14/2017,Brazil,Communications,GEO,Not Available,1436,"6,000",0,15,Germany/UK/France/Spain,Guiana Space Center,Ariane 5 ECA,2017-007B,41945,High definition television broadcast capacity. Intelsat is a minority owner. ,,
Telkom 3S,2/14/2017,Indonesia,Communications,GEO,Not Available,1436.1,"3,550",0,18,France/Italy,Guiana Space Center,Ariane 5 ECA,2017-007A,41944,Will replace Telkom 2.,,
INS-1A (ISRO Nano Satellite),2/15/2017,India,Earth Observation,LEO,Not Available,94.6,8,0,0,India,Satish Dhawan Space Centre,PSLV XL,2017-008B,41949,"Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space.",,
INS-1B (ISRO Nano Satellite),2/15/2017,India,Earth Observation,LEO,Not Available,94.6,8,0,0,India,Satish Dhawan Space Centre,PSLV XL,2017-008G,41954,"Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space.",,
Echostar 23,3/16/2017,USA,Communications,GEO,Not Available,1436.1,"5,600",0,15,USA,Cape Canaveral,Falcon 9,2017-014A,42070,Not Available,,
"Wideband Global Satcom 9 (WGS-9, USA 275)",3/17/2017,USA,Communications,GEO,Not Available,1436.1,"5,990","3,450",14,USA,Cape Canaveral,Delta 4,2017-016A,42075,Not Available,,
SES-10,3/30/2017,Luxembourg,Communications,GEO,Not Available,1436.1,"5,271","2,835",15,France/UK/Germany,Cape Canaveral,Falcon 9,2017-017A,42432,Primarily for video and the development of Ultra HD.,,
Shijian 13 (SJ-13),4/12/2017,China,Technology Development,GEO,Not Available,1436.1,"4,600",0,0,China,Xichang Satellite Launch Center,Long March 3B,2017-018A,42662,"First Chinese GEO satellite to use electric thrusters.  26 user beams covering China and offshore areas, and will service for distance learning, medicine, internet access, airborne and maritime communications and emergency communications.",,
Koreasat 7 (Mugungwha 7),5/4/2017,South Korea,Communications,GEO,Not Available,1436.08,"3,680",0,15,France/Italy,Guiana Space Center,Ariane 5,2017-023A,42691,Not Available,,
SGDC (Geostationary Satellite for Communications and Defense),5/4/2017,Brazil,Communications,GEO,Not Available,1436.11,"5,735",0,18,France/Italy,Guiana Space Center,Ariane 5,2017-023B,42692,"Joint venture, commercial and Brazilian Air Force. 57 Ka-band and X-band transponders.",,
South Asia Satellite (GSAT 9),5/6/2017,India,Communications,GEO,Not Available,1436.11,"2,230",0,12,India,Satish Dhawan Space Centre,GSLV,2017-024A,42695,"Will give free access to users in India, Bangladesh, Sri Lanka, the Maldives, Nepal, Bhutan and Afghanistan",,
INMARSAT 5 F4,5/15/2017,United Kingdom,Communications,GEO,Not Available,1436.08,"6,086",0,15,USA,Cape Canaveral,Falcon 9,2017-025A,42698,4th satellite in Global Xpress system.,,
Shaonian Xing (Youth Star),2/2/2018,China,Technology Development,LEO,Sun-Synchronous,94.5,3,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2018-015H,43199,"First satellite developed by teenagers as part of an outreach project to engage youth in thinking about space, STEAM education, and even satellite development.",,
"SHFT (Space-based High Frequency Testbed, Georgen)",12/16/2018,USA,Space Science,LEO,Polar,94.7,5,0,0,USA,Rocket Lab Launch Complex 1,Electron,2018-104M,43860,"Study variations in the plasma density of the ionosphere by collecting high-frequency radio signals, including those from natural galactic background emissions, from Jupiter, and from transmitters on Earth.",,
Shields 1,12/16/2018,USA,Technology Development,LEO,Polar,94.7,4,0,0,USA,Rocket Lab Launch Complex 1,Electron,2018-104B,43850,Technology demonstration of environmentally durable space hardware,,
Shijian 11-01 (SJ-11-01),11/12/2009,China,Space Science,LEO,Sun-Synchronous,98.7,0,0,3,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088,Monitor space environment; conduct several experiments.,,
Shijian 11-02 (SJ-11-02),7/29/2011,China,Technology Development,LEO,Sun-Synchronous,98.7,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765,Conduct various technology and environmental experiments.,,
Shijian 11-03 (SJ-11-03),7/6/2011,China,Technology Development,LEO,Sun-Synchronous,98.7,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730,Conduct various technology and environmental experiments.,,
Shijian 11-05 (SJ-11-05),7/15/2013,China,Technology Development,LEO,Sun-Synchronous,98.7,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202,Replacement for 11-04.,,
Shijian 11-06 (SJ-11-06),3/31/2014,China,Technology Development,LEO,Sun-Synchronous,98.69,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624,Not Available,,
Shijian 11-07 (SJ-11-07),9/28/2014,China,Technology Development,LEO,Sun-Synchronous,98.69,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261,Orbit suggests an earth observation role.,,
Shijian 11-08 (SJ-11-08),10/27/2014,China,Technology Development,LEO,Sun-Synchronous,98.6,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286,Orbit suggests an earth observation role.,,
Shijian 12 (SJ-12),6/15/2010,China,Technology Development,LEO,Sun-Synchronous,96.5,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596,Conduct various technology and environmental experiments.,,
SES-15,5/18/2017,Luxembourg,Communications,GEO,Not Available,1436.1,0,0,18,USA,Guiana Space Center,Soyuz,2017-026A,42709,Powered exclusively by xenon-fed electric thrusters,,
Shijian 15 (SJ-15),7/19/2013,China,Technology Development,LEO,Sun-Synchronous,98.08,0,0,0,China,Taiyuan Launch Center,Long March 3C,2013-037C,39210,Not Available,,
Shijian 16-01 (SJ-16),10/25/2013,China,Technology Development,LEO,Polar,96.85,0,0,0,China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358,Conducting space environment exploration and technological experiments.,,
Shijian 16-02,6/29/2016,China,Technology Development,LEO,Polar,96.81,0,0,0,China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634,Conducting space environment exploration and technological experiments.,,
"QZS-2 (Quazi-Zenith Satellite System, Michibiki-2)",5/31/2017,Japan,Navigation/Regional Positioning,GEO,Not Available,1436.12,"4,000",0,0,Japan,Tanegashima Space Center,H2A,2017-028A,42738,Not Available,,
Eutelsat 172B,6/1/2017,Multinational,Communications,GEO,Not Available,1436.1,"3,600",0,15,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2017-029B,42741,Uses xenon-ion propulsion. Working its way to GEO as of 10/15/2017.,,
"Shijian 6A (SJ-6A, Dong Fang Hong 60)",9/8/2004,China,Space Science,LEO,Sun-Synchronous,96.5,0,0,2,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413,Monitor space radiation.,,
Shijian 6B (SJ-6B),9/8/2004,China,Space Science,LEO,Sun-Synchronous,96.5,0,0,2,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414,Monitor space radiation.,,
Shijian 6C (SJ-6-02A),10/23/2006,China,Space Science,LEO,Sun-Synchronous,96.5,0,0,0,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505,Radiation detectors and other space environment-related instruments.,,
Shijian 6D (SJ-6-02B),10/23/2006,China,Space Science,LEO,Sun-Synchronous,96.6,0,0,0,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506,Radiation detectors and other space environment-related instruments.,,
"Shijian 6E (SJ6-03A, SJ-6E)",10/25/2008,China,Space Science,LEO,Sun-Synchronous,96.6,0,0,3,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408,Monitor space environment; conduct several experiments.,,
"Shijian 6F (SJ6-03B, SJ-6F)",10/25/2008,China,Space Science,LEO,Sun-Synchronous,96.5,0,0,3,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409,Monitor space environment; conduct several experiments.,,
Shijian 6G (SJ6-04A),10/6/2010,China,Earth Observation,LEO,Sun-Synchronous,96.6,0,0,0,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179,Possible reconnaissance function.,,
Shijian 6H (SJ6_04B),10/6/2010,China,Earth Observation,LEO,Sun-Synchronous,96.6,0,0,0,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180,Possible reconnaissance function.,,
"Shijian 7 (SJ7, Dong Fang Hong 65)",7/5/2005,China,Space Science,LEO,Sun-Synchronous,95.9,0,0,3,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,Monitor space environment; conduct several experiments.,,
Shijian 9A (SJ 9A),10/14/2012,China,Technology Development,LEO,Sun-Synchronous,97.44,0,0,0,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,,
Shijian 9B (SJ 9B),10/14/2012,China,Technology Development,LEO,Sun-Synchronous,97.46,0,0,0,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861,Focus on satellite reliability demonstrations and validating high-performance Chinese-made technologies.,,
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",4/18/2004,China,Earth Observation,LEO,Sun-Synchronous,96.6,204,0,0,China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220,"Stereo mapping; photographic surveys of China's land resources, monitor environment, mapping.",,
"Shiyan 3 (SY3, Experimental Satellite 3)",11/5/2008,China,Earth Observation,LEO,Sun-Synchronous,100.8,300,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433,Experiments on new technologies in atmospheric exploration.,,
"Shiyan 4 (SY4, Experimental Satellite 4)",11/20/2011,China,Earth Observation,LEO,Sun-Synchronous,100.7,300,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931,Study the environment and test new space technologies.,,
"Shiyan 5 (SY5, Experimental Satellite 5)",11/25/2013,China,Earth Observation,LEO,Sun-Synchronous,99.7,204,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455,Remote sensing and research.,,
"Shiyan 6 (SY6, Experimental Satellite 6)",11/19/2018,China,Space Science,LEO,Sun-Synchronous,99.6,0,0,0,China,Jiuquan Satellite Launch Center,Long March 2D,2018-094A,43710,"""Space environment exploration experiments.""",,
"Shiyan 7 (SY7, Experimental Satellite 7)",7/19/2013,China,Technology Development,LEO,Sun-Synchronous,98.15,0,0,0,China,Taiyuan Launch Center,Long March 4C,2013-037A,39208,Possibly testing systems for detection of orbiting space debris or tracking missile launches.,,
ViaSat-2,6/1/2017,USA,Communications,GEO,Not Available,1436.1,"6,418",0,14,USA,Guiana Space Center,Ariane 5,2017-029A,42740,"Powered mostly by xenon ions, so slowly working its way to GEO as of 10/15/2017. Large insurance claim filed in 2018 for damage to antenna.",,
GSAT-19E,6/3/2017,India,Communications,GEO,Not Available,1436.1,"3,136",0,10,India,Satish Dhawan Space Centre,GSLV MK.3,2017-031A,42747,Not Available,,
Echostar 21 (TerreStar 2),6/7/2017,USA,Communications,GEO,Not Available,1436.1,"6,900",0,15,USA,Baikonur Cosmodrome,Proton,2017-032A,42749,"Provide capacity to EchoStar Mobile for commercial wholesalers with a new, advanced network for reliable, IP-based MSS (Mobile Satellite Services) voice and data services in Europe.",,
"Sinah-1 (Sina 1, ZS1)",10/27/2005,Iran,Communications,LEO,Sun-Synchronous,98.6,170,0,3,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893,"""Telecommunications and research."" ""Take pictures of Iran and to monitor natural disasters in the earthquake-prone nation.""",,
SINOD D-1,10/8/2015,USA,Technology Demonstration,LEO,Non-Polar Inclined,97.67,2,0,0,USA,Cape Canaveral,Atlas 5,2015-058L,40974,Demonstration of software defined radio communications.,,
SINOD D-3,10/8/2015,USA,Technology Demonstration,LEO,Non-Polar Inclined,97.66,2,0,0,USA,Cape Canaveral,Atlas 5,2015-058P,40977,Demonstration of software defined radio communications.,,
Zhongxing 9A (ChinaSat 9A),6/18/2017,China,Communications,GEO,Not Available,1436.1,"5,000",0,15,China,Xichang Satellite Launch Center,Long March 3B,2017-035A,42763,"Initially put into wrong orbit, but was able to correct.",,
Sirius 1 (SD Radio 1),6/30/2000,USA,Communications,Elliptical,Molniya,1418.5,"3,727","1,570",15,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390,"Relay music, news, entertainment directly to motorists in the USA; a fourth satellite is stored on the ground for rapid replacement, if necessary.",,
Sirius 2 (SD Radio 2),9/5/2000,USA,Communications,Elliptical,Molniya,1148.43,"3,792","1,570",15,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483,"Relay music, news, entertainment directly to motorists in the USA.",,
Sirius 3 (SD Radio 3),11/30/2000,USA,Communications,Elliptical,Molniya,994.83,"3,727","1,570",15,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626,"Relay music, news, entertainment directly to motorists in the USA.",,
Aalto-1 ,6/23/2017,Finland,Technology Development,LEO,Not Available,94.7,5,0,2,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,,
BulgariaSat-1,6/23/2017,Bulgaria,Communications,GEO,Not Available,1436,"3,669",0,15,USA,Cape Canaveral,Falcon 9,2017-038A,42801,Bulgaria's first communications satellite.,,
GSAT-17,6/28/2017,India,Communications,GEO,Not Available,1436.1,"3,477",0,15,India,Guiana Space Center,Ariane 5,2017-040B,42815,Also hosts a payload to relay meteorological data and has a search and rescue support mission,,
Hellas-Sat 3/INMARSAT S EAN,6/28/2017,Greece/United Kingdom,Communications,GEO,Not Available,1436.1,"5,780",0,15,France/Italy,Guiana Space Center,Ariane 5,2017-040A,42814,"Direct-to-home television programming over Europe, Africa and the Middle East with 44 Ku-band transponders and a Ka-band payload owned by Hellas-Sat; S-band payload will connect airline passengers traveling across Europe with Wi-Fi as part of Inmarsat’s European Aviation Network.",,
SiriusSat-1,8/15/2018,Russia,Space Science,LEO,Non-Polar Inclined,92.6,1,0,0,Russia,International Space Station,Manual Deployment,1998-067PG,43955,Built by Russian school children under supervision at SPUTNIX education center. Also carries amateur radio package.,,
SiriusSat-2,8/15/2018,Russia,Space Science,LEO,Non-Polar Inclined,92.6,1,0,0,Russia,International Space Station,Manual Deployment,1998-067PH,43956,Not Available,,
Intelsat 35E,7/5/2017,USA,Communications,GEO,Not Available,1436.09,"6,761",0,15,USA,Cape Canaveral,Falcon 9,2017-041A,42818,"Fourth “Epic-class” relay satellite developed and launched by Intelsat, carry all-digital payloads, giving the company added flexibility in how it beams video, voice and data signals.",,
Blagovest-11L (Cosmos 2520),8/16/2017,Russia,Communications,GEO,Not Available,"1,436","3,000",0,15,Russia,Baikonur Cosmodrome,Proton,2017-046A,42907,First military/commercial satellite totally designed and built by ISS Reshetnev.,,
"TDRS-13 (Tracking and Data Relay Satellite, TDRS M)",8/18/2017,USA,Communications,GEO,Not Available,1436,"3,452","1,600",15,USA,Cape Canaveral,Atlas 5,2017-047A,42915,Not Available,,
"QZS-3 (Quazi-Zenith Satellite System, Michibiki-3)",8/19/2017,Japan,Navigation/Regional Positioning,GEO,Not Available,1436.1,"4,000",0,15,Japan,Tanegashima Space Center,H2A,2017-048A,42917,Not Available,,
Amazonas-5,9/12/2017,Spain,Communications,GEO,Not Available,1436.11,"5,900",0,15,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band",,
AsiaSat-9,9/28/2017,China,Communications,GEO,Not Available,1436.1,"6,140",0,15,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,"38 Ku-band, 28 C-band transponders. ",,
BSAT-4A,9/29/2017,Japan,Communications,GEO,Not Available,1432.7,"3,520",0,15,USA,Guiana Space Center,Ariane 5,2017-059B,42951,"24 Ku-band transponders. Will provide HD, 4K and 8K Ultra HD television broadcasts over Japan.",,
Intelsat 37E (IS-37E),9/29/2017,USA,Communications,GEO,Not Available,1436.1,"6,438",0,15,USA,Guiana Space Center,Ariane 5,2017-059A,42950,"Broadband, wireless communications, television and government services across the Americas, the Atlantic Ocean, Europe and the Middle East",,
"QZS-4 (Quazi-Zenith Satellite System, Michibiki-4)",10/9/2017,Japan,Navigation/Regional Positioning,GEO,Not Available,1435.9,"4,000",0,15,Japan,Tanegashima Space Center,H2A,2017-062A,42965,4 L-band beams.,,
SES-11/EchoStar 105,10/11/2017,Luxembourg,Communications,GEO,Not Available,1436,"5,200",0,15,France/UK/Germany,Cape Canaveral,Falcon 9,2017-063A,42967,SES will control the 24 C-band transponders; EchoStar the 24 Ku-band transponders.,,
SkySat-1 (S1),11/21/2013,USA,Earth Observation,LEO,Sun-Synchronous,96.34,0,0,0,USA,Dombarovsky Air Base,Dnepr,2013-066C,39418,"Planned 24-satellite constellation for imaging. Previously owned by Google, but acquired by Planet in 2/17.",,
"SkySat-10 (SkySat C8, S108)",10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.8,110,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068D,42990,Not Available,,
"SkySat-11 (SkySat C9, S109)",10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.9,110,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068C,42989,Not Available,,
"SkySat-12 (SkySat C10, S110)",10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.9,110,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068B,42988,Not Available,,
"SkySat-13 (SkySat C11, S111)",10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.9,110,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068A,42987,Not Available,,
